time_stamp,air_temperature,humidity,co2,ec,pH,water_temperature
1573599125,83,70.4,1132,2006,6.09,74.2
1573599185,83.1,70,1120,2006,6.09,74.2
1573599245,83.2,70,1109,2005,6.09,74.2
1573599305,83.1,70.5,1097,2005,6.09,74.2
1573599365,83.2,70.5,1079,2004,6.09,74.2
1573599425,83.3,70.1,1068,2004,6.1,74.2
1573599485,83.4,69.8,1054,2004,6.1,74.2
1573599545,83.3,70.4,1049,2004,6.1,74.2
1573599605,83.3,70.9,1035,2003,6.1,74.4
1573599665,83.4,70.2,1033,2001,6.1,74.4
1573599725,83.5,69.9,1039,2001,6.09,74.4
1573599785,83.5,70,1042,2001,6.1,74.4
1573599845,83.5,70.7,1051,2001,6.1,74.4
1573599905,83.4,70.5,1058,2000,6.1,74.4
1573599965,83.6,70.1,1061,2001,6.09,74.4
1573600025,83.7,70,1065,2000,6.09,74.4
1573600085,83.6,70.6,1071,2000,6.1,74.4
1573600145,83.6,70.7,1074,1999,6.09,74.6
1573600205,83.7,70.5,1070,1999,6.09,74.6
1573600265,83.8,70.1,1077,1999,6.1,74.6
1573600325,83.9,69.8,1077,1999,6.09,74.6
1573600385,83.8,70.2,1079,1998,6.1,74.6
1573600445,83.7,71,1098,1998,6.09,74.6
1573600505,83.8,70.7,1115,1998,6.1,74.6
1573600566,83.9,70.1,1118,1998,6.1,74.6
1573600625,83.9,69.7,1123,1997,6.09,74.7
1573600685,83.8,70.2,1124,1997,6.1,74.8
1573600746,83.7,70.7,1118,1997,6.1,74.8
1573600805,83.8,70.3,1111,1997,6.1,74.8
1573600865,83.9,69.8,816,1996,6.1,74.8
1573600925,83.9,70.2,1093,1996,6.1,74.8
1573600985,83.8,70.7,1080,1994,6.1,74.8
1573601045,83.9,70.7,1066,1994,6.1,74.8
1573601105,84,70.3,1046,1994,6.1,74.8
1573601165,84.1,69.7,1038,1993,6.1,74.9
1573601225,84,70.1,1029,1994,6.1,75
1573601285,83.9,70.8,1029,1993,6.1,75
1573601345,83.9,70.5,1017,1992,6.1,75
1573601405,84,70.2,1015,1993,6.1,75
1573601465,84.2,70.2,1016,1991,6.1,75
1573601525,84.3,70,1020,1993,6.1,75
1573601585,84.3,70,1024,1992,6.1,75
1573601645,84.1,70.9,1036,1991,6.1,75
1573601705,84.1,71,1051,1991,6.1,75.1
1573601765,84.4,70.8,1054,1991,6.1,75.1
1573601825,84.4,70.3,1059,1991,6.1,75.2
1573601885,84.5,70,1063,1990,6.1,75.1
1573601945,84.6,70,1065,1990,6.1,75.1
1573602006,84.5,70.5,1063,1989,6.1,75.1
1573602065,84.5,70.5,1064,1989,6.1,75.1
1573602125,84.6,70.4,1073,1989,6.1,75.1
1573602185,84.7,69.8,1023,1988,6.1,75.2
1573602245,84.6,70,1082,1989,6.1,75.3
1573602305,84.5,70.7,1085,1986,6.1,75.3
1573602365,84.5,70.6,1099,1988,6.1,75.3
1573602425,84.6,70.3,1102,1988,6.1,75.3
1573602485,84.6,70.1,1102,1986,6.1,75.3
1573602545,84.7,69.8,1105,1986,6.1,75.3
1573602605,84.6,70.4,1094,1986,6.1,75.3
1573602665,84.6,70.8,1082,1986,6.1,75.3
1573602725,84.7,70.5,1078,1984,6.1,75.5
1573602785,84.8,70.1,1078,1985,6.1,75.5
1573602845,84.9,70,1084,1984,6.1,75.5
1573602905,84.8,70.6,1087,1983,6.1,75.5
1573602965,84.7,71.1,1101,1984,6.1,75.5
1573603025,84.8,70.8,1112,1984,6.1,75.5
1573603085,85,70.5,1114,1983,6.1,75.5
1573603145,85.1,70.1,1119,1982,6.1,75.5
1573603205,84.9,67.7,1117,1982,6.1,75.7
1573603265,83.9,66.4,1112,1982,6.1,75.7
1573603325,83.3,67.3,1094,1982,6.1,75.7
1573603385,83.1,69.2,1054,1982,6.1,75.7
1573603445,83,70.4,1025,1981,6.1,75.7
1573603505,83.1,71.2,991,1981,6.1,75.7
1573603565,83.4,70.7,962,1981,6.1,75.7
1573603625,83.5,70.4,941,1981,6.1,75.7
1573603685,83.7,70.2,917,1979,6.1,75.7
1573603745,83.9,69.9,902,1978,6.1,75.7
1573603805,84,70.1,891,1979,6.1,75.7
1573603865,83.9,70.6,878,1978,6.1,75.7
1573603925,84,70.3,875,1977,6.1,75.7
1573603985,84.1,70,881,1979,6.1,75.7
1573604045,84.3,69.8,883,1977,6.1,75.7
1573604105,84.3,70.2,891,1977,6.1,75.7
1573604165,84.3,70.7,902,1977,6.1,75.7
1573604225,84.4,70.5,913,1977,6.1,75.7
1573604285,84.4,70.3,912,1976,6.11,75.8
1573604345,84.5,69.9,915,1976,6.11,75.8
1573604405,84.6,70,916,1976,6.11,75.9
1573604465,84.5,70.7,912,1976,6.11,75.8
1573604525,84.5,70.7,909,1975,6.11,75.9
1573604585,84.6,70.3,912,1976,6.11,75.9
1573604645,84.7,69.9,915,1975,6.11,75.8
1573604705,84.7,69.9,923,1975,6.11,75.9
1573604765,84.5,70.6,939,1975,6.11,75.8
1573604825,84.5,70.4,955,1976,6.06,75.9
1573604885,84.7,69.8,495,1978,5.97,75.8
1573604945,84.7,70.2,949,1979,5.93,75.8
1573605005,84.6,70.7,957,1978,5.92,75.9
1573605065,84.6,70.4,952,1978,5.92,75.9
1573605125,84.6,70.1,942,1979,5.92,76
1573605185,84.7,69.8,943,1978,5.92,76.1
1573605245,84.6,70.4,944,1978,5.92,76
1573605305,84.6,70.7,954,1977,5.92,76.1
1573605365,84.6,70.4,973,1977,5.92,76.1
1573605425,84.8,70.2,995,1979,5.83,76
1573605485,84.9,70,999,1983,5.74,76.1
1573605545,85,70,1007,1984,5.71,76
1573605605,85,70.9,1017,1984,5.7,76.1
1573605665,85,71,1015,1984,5.7,76
1573605725,85,70.3,986,1984,5.7,76
1573605785,85.1,69.9,1000,1983,5.71,76.1
1573605845,85,69.9,1000,1983,5.71,76.2
1573605905,84.7,70.5,1005,1982,5.72,76.2
1573605965,84.5,70.3,1022,1982,5.72,76.2
1573606025,84.5,69.8,1042,1981,5.73,76.2
1573606085,84.4,70.2,1063,1981,5.72,76.2
1573606145,84.3,70.8,1086,1981,5.73,76.2
1573606205,84.4,70.9,1101,1981,5.73,76.2
1573606265,84.6,70.5,1116,1979,5.73,76.2
1573606325,84.7,70.1,1125,1979,5.73,76.2
1573606385,84.8,69.8,1137,1978,5.74,76.2
1573606445,84.7,70.6,1141,1979,5.74,76.2
1573606505,84.8,70.7,1136,1978,5.74,76.2
1573606565,84.9,70.6,1121,1978,5.74,76.2
1573606625,85.1,70,1106,1977,5.75,76.2
1573606685,84.9,68.3,1106,1977,5.75,76.2
1573606745,84.1,67,1094,1977,5.76,76.2
1573606805,83.3,68,1084,1976,5.75,76.2
1573606865,83.1,69.6,1064,1977,5.76,76.2
1573606925,83,70.6,1030,1976,5.76,76.2
1573606985,83.1,71.3,1003,1976,5.76,76.2
1573607045,83.4,70.8,968,1976,5.76,76.2
1573607105,83.7,70.5,929,1975,5.76,76.2
1573607165,83.8,70.2,912,1976,5.76,76.2
1573607225,84,70,891,1975,5.77,76.2
1573607285,84.1,69.9,875,1974,5.77,76.2
1573607345,84.1,70.7,869,1975,5.77,76.2
1573607405,84.1,70.8,858,1974,5.77,76.2
1573607465,84.3,70.5,866,1972,5.78,76.2
1573607525,84.4,70.2,863,1974,5.79,76.3
1573607585,84.6,70,861,1972,5.79,76.4
1573607645,84.7,69.9,855,1972,5.79,76.4
1573607705,84.6,70.6,865,1972,5.79,76.4
1573607765,84.6,70.5,868,1971,5.79,76.4
1573607825,84.7,70.2,865,1972,5.8,76.4
1573607885,84.8,69.9,868,1971,5.79,76.4
1573607945,84.7,70.2,862,1971,5.8,76.4
1573608005,84.6,70.7,856,1971,5.8,76.4
1573608065,84.6,70.5,856,1970,5.8,76.4
1573608125,84.7,70.2,864,1970,5.8,76.4
1573608185,84.8,70,872,1969,5.8,76.4
1573608245,84.9,69.7,879,1970,5.81,76.4
1573608305,84.8,70.4,883,1969,5.8,76.4
1573608365,84.8,70.9,893,1969,5.8,76.4
1573608426,84.9,70.4,895,1968,5.81,76.4
1573608485,85,70.1,897,1969,5.81,76.4
1573608545,85.1,70.1,896,1969,5.81,76.4
1573608605,85,69.9,882,1968,5.81,76.4
1573608665,84.8,70.2,863,1967,5.82,76.4
1573608725,84.6,70.8,853,1967,5.82,76.4
1573608785,84.6,70.7,854,1967,5.82,76.4
1573608845,84.8,70.6,856,1967,5.82,76.5
1573608905,84.9,70.4,864,1967,5.82,76.6
1573608965,85,70.1,875,1967,5.82,76.6
1573609025,85,69.8,884,1965,5.82,76.6
1573609085,85,70.6,883,1965,5.82,76.6
1573609145,85,71.5,889,1965,5.82,76.6
1573609205,85.1,71.4,891,1965,5.83,76.6
1573609265,85.1,71.1,884,1964,5.83,76.6
1573609325,85,70.9,883,1964,5.83,76.6
1573609385,84.9,70.6,888,1964,5.83,76.6
1573609445,84.8,70.6,888,1964,5.82,76.6
1573609505,84.9,70.5,889,1964,5.83,76.6
1573609565,85,70.3,891,1963,5.82,76.6
1573609625,85,70.3,895,1962,5.83,76.6
1573609685,85.1,70.1,902,1963,5.83,76.6
1573609745,85,70,913,1962,5.83,76.6
1573609805,84.9,70,930,1963,5.83,76.6
1573609865,84.7,70.8,939,1962,5.83,76.6
1573609925,84.6,71.7,953,1962,5.83,76.6
1573609985,84.7,71.3,964,1961,5.83,76.6
1573610045,84.8,71,977,1962,5.83,76.8
1573610105,85,70.6,989,1961,5.84,76.8
1573610165,85.1,70.3,992,1961,5.83,76.8
1573610225,85.1,70.1,1000,1960,5.84,76.8
1573610285,85,70.3,993,1960,5.83,76.8
1573610345,84.8,70.2,992,1960,5.84,76.8
1573610405,84.7,70.2,992,1959,5.83,76.8
1573610465,84.7,70.2,994,1959,5.84,76.8
1573610525,84.9,70.2,1000,1960,5.84,76.8
1573610585,85,70.2,1003,1959,5.84,76.8
1573610645,85.1,70.1,1009,1957,5.84,76.8
1573610705,85.1,70.1,1015,1959,5.84,76.8
1573610765,84.9,69.9,1019,1957,5.84,76.8
1573610825,84.7,70.4,1036,1957,5.84,76.8
1573610885,84.6,71.7,1038,1956,5.84,76.8
1573610945,84.7,71.7,1043,1957,5.84,76.8
1573611005,84.9,71.4,1053,1956,5.84,76.8
1573611065,85,70.9,1055,1956,5.84,76.8
1573611125,85.1,70.6,1052,1956,5.84,76.8
1573611185,85,70.5,1051,1955,5.84,76.8
1573611245,84.8,70.4,1056,1955,5.84,76.8
1573611306,84.9,70.1,1057,1955,5.84,76.8
1573611365,84.9,70.1,1044,1955,5.85,76.8
1573611425,84.9,70,1042,1954,5.85,76.8
1573611485,85,70,1032,1954,5.85,76.8
1573611545,85.1,70.1,1031,1953,5.85,76.8
1573611606,85.1,70.1,1033,1954,5.86,76.9
1573611665,85,70.2,1031,1953,5.85,77
1573611725,84.8,70.2,1034,1953,5.86,77
1573611785,84.8,70.2,1042,1954,5.86,77
1573611845,84.9,70.1,1044,1953,5.86,77
1573611905,85,70.3,1044,1953,5.86,77
1573611965,85.1,70,1046,1953,5.85,77
1573612025,85,69.7,1055,1952,5.86,77
1573612086,84.6,70.5,1061,1950,5.85,77
1573612145,84.4,71.1,1062,1952,5.86,77
1573612205,84.5,70.8,1061,1950,5.85,77
1573612265,84.7,70.6,1048,1950,5.86,77
1573612325,84.8,70.6,1042,1950,5.86,77
1573612385,85,70.4,1039,1950,5.86,77
1573612445,85.1,70.2,1034,1952,5.86,77
1573612505,85.1,70,1023,1959,5.86,77
1573612565,84.9,70.1,1012,1963,5.86,77
1573612625,84.8,70.2,1013,1969,5.86,77
1573612685,84.7,69.7,1018,1974,5.86,77
1573612745,84.7,70.8,1022,1975,5.86,77
1573612805,84.7,71.7,1026,1975,5.86,77
1573612865,85.1,73.5,1026,1976,5.86,77
1573612925,85.4,74.5,1027,1976,5.86,77
1573612985,85.6,75.5,1029,1975,5.85,77
1573613045,85.6,75.2,1042,1975,5.86,77
1573613105,85.6,73.7,1049,1974,5.85,77
1573613165,85.3,73.2,1063,1974,5.86,77
1573613225,85.3,74.8,1072,1974,5.86,77
1573613285,85.4,76,1098,1974,5.86,77
1573613345,85.4,77,1108,1972,5.86,77.1
1573613405,85.5,77.5,1133,1972,5.86,77.2
1573613465,85.5,77.2,1146,1972,5.86,77.2
1573613525,85.5,77,1162,1972,5.86,77.1
1573613585,85.4,76.2,1163,1972,5.86,77.2
1573613645,85.2,74.5,1167,1971,5.87,77.2
1573613705,85,73.2,1174,1971,5.86,77.1
1573613765,84.9,73.1,1173,1970,5.86,77.2
1573613825,84.8,73.1,1172,1970,5.86,77.1
1573613885,84.9,72.9,1176,1971,5.86,77.2
1573613945,85.1,72.4,1170,1970,5.86,77.1
1573614005,85,70.2,1168,1970,5.86,77.2
1573614065,84.3,67.9,1163,1970,5.86,77.3
1573614125,83.5,69.1,1150,1969,5.86,77.3
1573614185,83.3,70.8,1121,1970,5.87,77.3
1573614245,83.4,71.5,1104,1968,5.87,77.2
1573614306,83.7,71.4,1056,1968,5.87,77.1
1573614365,84,71.3,992,1969,5.87,77.2
1573614425,84.2,71,962,1968,5.87,77.1
1573614485,84.4,70.9,938,1968,5.87,77.2
1573614545,84.5,70.9,917,1968,5.87,77.1
1573614605,84.7,70.6,911,1968,5.87,77.2
1573614665,84.9,70.7,901,1967,5.87,77.2
1573614725,85,70.5,890,1967,5.88,77.1
1573614785,85.1,70.4,903,1967,5.88,77.2
1573614845,85.1,70.4,916,1967,5.87,77.1
1573614905,85,70.4,923,1965,5.87,77.2
1573614965,84.9,70.3,942,1967,5.87,77.1
1573615025,84.8,70.3,957,1965,5.87,77.2
1573615085,84.9,70.3,978,1967,5.87,77.2
1573615145,85,70.2,988,1965,5.87,77.1
1573615205,85.1,70.1,996,1965,5.88,77.2
1573615265,85,70.3,1000,1965,5.87,77.2
1573615325,85,70,993,1965,5.88,77.1
1573615385,84.8,70.1,998,1965,5.88,77.2
1573615445,84.8,70.2,1009,1964,5.88,77.1
1573615505,84.9,70.1,1014,1965,5.88,77.2
1573615565,85,70.1,1022,1964,5.88,77.1
1573615625,85.1,69.9,1037,1964,5.88,77.2
1573615685,84.9,70.7,1047,1964,5.88,77.1
1573615745,84.7,71,1047,1964,5.88,77.2
1573615805,84.7,70.9,1057,1963,5.88,77.2
1573615865,84.9,70.6,1059,1963,5.88,77.1
1573615926,85,70.6,1061,1963,5.89,77.2
1573615985,85.1,70.4,1072,1962,5.88,77.1
1573616045,85,70.3,1075,1963,5.89,77.2
1573616105,84.8,70.4,1080,1962,5.88,77.2
1573616165,84.8,70.3,1089,1962,5.89,77.1
1573616225,85,70.2,1092,1961,5.88,77.2
1573616285,85.1,70.1,1099,1961,5.89,77.2
1573616345,85.1,70.1,1101,1962,5.88,77.1
1573616405,84.8,68,1105,1961,5.89,77.2
1573616465,84.3,69.1,1099,1960,5.88,77.1
1573616525,84.1,70.4,1072,1961,5.89,77.2
1573616585,84,71.7,1053,1961,5.88,77.1
1573616645,84.3,71.1,1023,1960,5.89,77.2
1573616705,84.5,70.9,997,1961,5.89,77.2
1573616765,84.7,70.6,970,1960,5.89,77.2
1573616825,84.9,70.4,950,1961,5.89,77.1
1573616885,85,70.4,941,1960,5.89,77.2
1573616945,85.1,70.1,929,1959,5.89,77.1
1573617005,85.1,69.9,915,1959,5.89,77.1
1573617065,84.9,70.6,905,1959,5.9,77.2
1573617125,84.7,71.3,913,1959,5.89,77.1
1573617185,84.7,71.4,928,1959,5.89,77.2
1573617245,84.8,71.1,944,1957,5.89,77.1
1573617305,85,70.4,959,1957,5.89,77.2
1573617365,85,69.6,980,1957,5.89,77.2
1573617425,85,70.4,996,1956,5.89,77.1
1573617485,84.9,71.6,1005,1956,5.89,77.2
1573617545,84.7,71.8,1014,1957,5.9,77.1
1573617605,84.8,71.6,1021,1956,5.89,77.2
1573617666,84.9,71.5,1022,1956,5.89,77.1
1573617725,85.1,71.2,1027,1956,5.89,77.2
1573617785,85.2,71,1028,1956,5.89,77.1
1573617845,85.1,70.7,1031,1955,5.9,77.2
1573617905,84.9,70.6,1043,1955,5.89,77.2
1573617965,84.8,70.6,1056,1955,5.9,77.1
1573618025,84.7,70.6,1070,1954,5.89,77.2
1573618085,84.9,70.7,1089,1954,5.9,77.1
1573618145,85.1,70.5,1097,1954,5.89,77.2
1573618205,85.1,70.3,1102,1954,5.9,77.1
1573618265,84.7,67.9,1111,1954,5.9,77.3
1573618325,84.1,68.2,1116,1954,5.9,77.2
1573618385,83.8,70,1110,1953,5.89,77.1
1573618445,83.7,71,1101,1954,5.89,77.2
1573618505,84,71,1066,1954,5.89,77.1
1573618565,84.2,70.7,1035,1954,5.9,77.2
1573618625,84.4,70.4,1008,1953,5.89,77.1
1573618685,84.6,70.3,990,1953,5.9,77.1
1573618745,84.8,70,968,1954,5.9,77.1
1573618805,84.9,69.9,959,1953,5.9,77.2
1573618865,85,70,954,1953,5.9,77.2
1573618925,84.9,70.5,949,1952,5.9,77.1
1573618985,84.9,70.6,951,1952,5.9,77.2
1573619045,85.1,70.5,957,1952,5.9,77.1
1573619106,85.2,70.5,962,1952,5.9,77.2
1573619165,85.1,70.2,972,1952,5.9,77.2
1573619225,84.9,70.1,991,1950,5.9,77.1
1573619285,84.7,70.3,1008,1950,5.9,77.2
1573619345,84.8,70.2,1034,1950,5.9,77.1
1573619405,85,70,1061,1950,5.9,77.2
1573619465,85.1,70.1,1084,1950,5.9,77.1
1573619525,84.9,71.1,1093,1950,5.91,77.2
1573619585,84.7,71.5,1096,1950,5.9,77.1
1573619645,84.7,71.1,1094,1949,5.91,77.1
1573619705,84.8,71,1089,1953,5.9,77.2
1573619765,84.9,70.8,1084,1959,5.9,77.1
1573619825,85.1,70.5,1076,1964,5.9,77.2
1573619885,85.1,70.2,1063,1970,5.9,77.1
1573619945,85,70.2,1052,1972,5.9,77.2
1573620005,84.9,70.2,1050,1974,5.9,77.1
1573620066,84.8,70.3,1043,1974,5.9,77.2
1573620125,84.9,70.2,1042,1975,5.9,77.1
1573620185,85,70.1,1041,1975,5.9,77.1
1573620245,85.1,70.1,1039,1974,5.9,77.2
1573620305,85.1,69.8,1034,1974,5.9,77.2
1573620365,84.9,70.7,1029,1972,5.9,77.1
1573620425,84.7,71,1034,1972,5.9,77.2
1573620485,84.9,71,1039,1972,5.9,77.1
1573620545,85,70.6,1042,1972,5.9,77.2
1573620605,85.1,70.6,1046,1972,5.9,77.2
1573620665,85.2,70.3,1047,1972,5.9,77.2
1573620726,85,70.3,1057,1971,5.9,77.2
1573620785,84.9,70.5,1061,1971,5.9,77.2
1573620845,84.8,70.3,1060,1970,5.9,77.2
1573620905,84.9,70.2,1060,1970,5.9,77.3
1573620965,85.1,70.2,1049,1970,5.9,77.3
1573621026,85,69.4,1056,1970,5.9,77.3
1573621085,84.6,70.3,1050,1970,5.9,77.2
1573621145,84.4,71.6,1049,1969,5.9,77.1
1573621205,84.5,71.9,1051,1970,5.9,77.2
1573621265,84.7,71.8,1051,1969,5.9,77.1
1573621325,85.4,70,1060,1969,5.9,77.1
1573621385,85.7,68.7,1067,1969,5.9,77.2
1573621445,85,70.5,1072,1969,5.9,77.3
1573621505,84.6,71.4,1076,1968,5.9,77.4
1573621565,84.6,71.5,1082,1968,5.9,77.3
1573621625,84.7,71.2,1088,1968,5.9,77.3
1573621685,84.9,71,1083,1969,5.9,77.4
1573621745,85,70.9,1073,1968,5.91,77.3
1573621805,85.1,70.8,1064,1968,5.91,77.4
1573621865,85,70.6,1073,1967,5.91,77.3
1573621925,84.9,70.7,1060,1967,5.91,77.4
1573621985,84.9,70.5,1054,1967,5.91,77.4
1573622045,85,70.4,1044,1967,5.91,77.3
1573622105,85,70.2,1038,1965,5.91,77.4
1573622165,85.2,70.1,1037,1967,5.91,77.3
1573622225,85.1,70.2,1032,1967,5.92,77.4
1573622285,85,70.1,1031,1967,5.92,77.3
1573622345,84.8,70.1,1033,1965,5.92,77.4
1573622405,84.8,70.4,1043,1965,5.92,77.4
1573622465,84.9,70.4,1048,1967,5.92,77.3
1573622525,85.1,70.1,1060,1964,5.92,77.3
1573622585,85.1,70.1,1073,1965,5.92,77.3
1573622645,85,70,1080,1965,5.92,77.4
1573622705,84.9,70.1,1086,1964,5.91,77.3
1573622765,84.6,71.4,1103,1964,5.92,77.4
1573622825,84.5,71.9,1103,1963,5.92,77.3
1573622885,84.7,71.5,1096,1963,5.92,77.4
1573622945,84.9,71.1,1099,1963,5.92,77.4
1573623005,85,70.9,1095,1963,5.91,77.3
1573623065,85.1,70.8,1083,1963,5.92,77.4
1573623125,85,70.7,1075,1963,5.91,77.4
1573623185,84.9,70.6,1063,1963,5.92,77.4
1573623245,84.8,70.5,1054,1962,5.91,77.4
1573623305,84.9,70.4,1031,1962,5.92,77.3
1573623365,85,70.3,1022,1962,5.92,77.4
1573623425,85.1,70.3,1016,1963,5.92,77.3
1573623485,85.1,70.3,1010,1962,5.91,77.4
1573623545,85,70.3,1005,1961,5.92,77.4
1573623605,84.9,70.2,998,1961,5.92,77.3
1573623665,84.8,70.1,994,1961,5.92,77.4
1573623725,84.9,70.2,998,1961,5.92,77.3
1573623785,85,70.1,1000,1961,5.92,77.4
1573623845,85.1,70,996,1961,5.92,77.4
1573623905,85.1,70,994,1960,5.92,77.3
1573623965,85,69.9,989,1961,5.92,77.4
1573624025,84.7,70.9,988,1960,5.92,77.3
1573624085,84.6,71.3,994,1960,5.92,77.4
1573624145,84.8,71,1000,1960,5.92,77.4
1573624205,85,70.7,999,1959,5.92,77.3
1573624265,85.1,70.6,1008,1959,5.93,77.3
1573624325,85.1,70.4,1016,1959,5.92,77.4
1573624386,85,70.4,1024,1959,5.92,77.4
1573624445,84.9,70.2,1031,1959,5.93,77.3
1573624505,84.8,70.4,1045,1957,5.92,77.4
1573624565,84.9,70.3,1051,1957,5.93,77.3
1573624625,85,70.2,1057,1959,5.92,77.4
1573624685,85.1,69.8,1072,1957,5.92,77.4
1573624745,84.9,69.2,1085,1957,5.92,77.3
1573624805,84.5,71,1089,1956,5.92,77.4
1573624865,84.4,71.7,1090,1956,5.93,77.4
1573624925,84.6,71.8,1093,1956,5.92,77.4
1573624985,84.9,71.7,1091,1955,5.92,77.3
1573625046,85,71.3,1083,1956,5.92,77.4
1573625105,85.2,71,1078,1956,5.93,77.3
1573625165,85.1,70.8,1065,1955,5.93,77.4
1573625225,85,70.7,1052,1955,5.92,77.4
1573625285,84.8,70.8,1054,1954,5.93,77.3
1573625345,84.9,70.7,1049,1955,5.93,77.3
1573625405,85,70.6,1046,1954,5.93,77.4
1573625465,85.1,70.4,1038,1954,5.93,77.3
1573625526,85.1,70.4,1034,1954,5.93,77.3
1573625585,85,70.4,1025,1955,5.93,77.3
1573625645,84.9,70.2,1025,1954,5.93,77.3
1573625705,84.9,70.1,1030,1953,5.93,77.4
1573625765,84.9,70.2,1033,1954,5.93,77.3
1573625825,85,70.2,1038,1953,5.93,77.4
1573625885,85.1,70.1,1041,1953,5.93,77.3
1573625945,85.1,69.9,1042,1952,5.93,77.3
1573626006,84.9,70.5,1060,1953,5.93,77.3
1573626065,84.7,71.6,1072,1953,5.93,77.3
1573626125,84.7,71.7,1075,1952,5.93,77.3
1573626185,84.9,71.1,1070,1953,5.93,77.3
1573626245,85.1,71.1,1063,1952,5.93,77.4
1573626305,85.1,70.6,1064,1952,5.93,77.3
1573626365,85.1,70.6,1057,1950,5.93,77.4
1573626425,85,70.3,1055,1950,5.93,77.3
1573626485,84.9,70.3,1052,1950,5.93,77.3
1573626545,84.8,70.4,1045,1952,5.93,77.4
1573626605,85,70.3,1038,1949,5.93,77.3
1573626665,85.1,70.1,1038,1949,5.93,77.4
1573626725,85.1,70.2,1030,1955,5.93,77.4
1573626785,85,69.9,1026,1961,5.92,77.3
1573626845,84.8,70.3,1027,1967,5.92,77.4
1573626905,84.5,71.6,1026,1971,5.92,77.3
1573626966,84.6,71.9,1031,1976,5.92,77.4
1573627025,84.7,71.4,1028,1976,5.93,77.3
1573627085,84.9,71.1,1040,1976,5.92,77.4
1573627145,85.1,70.6,1045,1975,5.92,77.4
1573627205,85.1,70.2,1055,1975,5.92,77.3
1573627265,85,70.1,1071,1975,5.93,77.4
1573627325,84.9,70,1075,1974,5.92,77.3
1573627385,84.8,70.1,1074,1975,5.93,77.4
1573627445,84.9,70.1,1068,1974,5.92,77.3
1573627505,85,70,1058,1974,5.93,77.3
1573627565,85.1,69.9,1048,1974,5.93,77.4
1573627625,85,70.7,1042,1974,5.93,77.3
1573627685,84.8,71.2,1036,1972,5.93,77.4
1573627745,84.7,71.2,1032,1974,5.93,77.4
1573627805,84.9,70.8,1031,1972,5.93,77.3
1573627865,85,70.5,1033,1974,5.93,77.3
1573627925,85.1,70.3,1037,1972,5.93,77.4
1573627985,85.1,70.2,1059,1971,5.93,77.4
1573628045,85,70.1,1070,1971,5.93,77.3
1573628105,84.8,70.1,1073,1971,5.93,77.3
1573628165,84.9,70,1079,1970,5.93,77.4
